Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Spatial-temporal evolution of ore-forming fluids and related mineralization in the western Lanping basin, Yunnan Province, China","20151400716280","","Zhang, Jin-Rang (1, 2); Wen, Han-Jie (2); Qiu, Yu-Zhuo (2, 3); Zou, Zhi-Chao (4); Du, Sheng-Jiang (2); Wu, Song-Yang (1) ","(1) Chengdu Institute of Geology and Mineral Resources, China Geological Survey, Chengdu; 610081, China (2) State Key Laboratory of Ore Deposit Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang; 550002, China (3) Key Laboratory for Metallogenic, Guangzhou Institute of Geochemistry, Chinese Academy of Sciences, Guangzhou; 510640, China (4) Chengdu University of Technology, Chengdu; 610059, China ","Wen, Han-Jie(wenhanjie@vip.gyig.ac.cn) ","Ore Geology Reviews","Ore Geol. Rev.","","Elsevier B.V.","67","","90-108","2015","","","2015","English","01691368","","","10.1016/j.oregeorev.2014.11.017","","","","","","","Journal article (JA)","The Lanping basin is a significant Pb-Zn-Cu-Ag mineralization belt in the Sanjiang Tethyan metallogenic province. A series of sediment-hosted Himalayan Cu-Ag-Pb-Zn polymetallic deposits have been discovered in the western part of the basin, controlled by a thrust-nappe system. In the thrust-nappe system, the Cu orebodies mainly occur in the western and relatively deep part of the mineralization system (the root zone), whereas the Pb-Zn-Ag (± Cu) orebodies occur in the eastern and relatively shallow part of the system (the front zone), both as vein-type mineralization. In this paper we present new data, combined with existing data on fluid inclusions, isotopes and geologic characteristics of representative deposits, to provide the first study that contrasts mineralizing fluids in the Cu-Ag (Mo) and Pb-Zn-Ag (Cu) polymetallic deposits. Fluid inclusion and isotope studies show that the Cu-Ag (Mo) mineralization in the root zone formed predominantly from deep crustal fluids, with the participation of basinal brines. The deep crustal fluids are marked by high CO2content, relatively high temperatures (280 to 340°C) and low salinities (1 to 4wt.% NaCl equivalent), whereas the basinal brine shows relatively low temperatures (160°C to 220°C) and high salinities (12 to 22wt.% NaCl equivalent), containing almost no CO2. In comparison, hydrothermal activity associated with the Pb-Zn-Ag (±Cu) deposits in the front zone is characterized by basinal brine, with relatively low temperatures (130°C to 180°C), high salinities (9 to 24wt.% NaCl equivalent), and low CO2concentrations. Although evolved meteoric waters have predominantly been proposed as the source for deep crustal fluids, magmatic and metamorphic components cannot be completely excluded. The basinal brine was predominantly derived from meteoric water. The δ34S values of sulfides from the Cu-Ag (Mo) deposits and Pb-Zn-Ag (±Cu) deposits range from -17.9 to 16.3‰ and from 2.5 to 11.2‰, respectively. These ranges may relate to variations in physicochemical conditions or compositional variation of the sources. Lead isotope compositions indicate that the ore-forming metals were predominantly derived from sedimentary rocks of the Lanping basin. © 2014 Elsevier B.V.","","78","Copper alloys","Binary alloys - Brines - Carbon dioxide - Cobalt deposits - Deposits - Isotopes - Lead alloys - Mineralogy - Molybdenum alloys - Ores - Sedimentary rocks - Silver alloys - Sodium chloride - Sulfur compounds - Ternary alloys - Zinc alloys","China - Compositional variation - Geologic characteristics - Ore-forming fluid - Physicochemical conditions - Polymetallic - Spatial-temporal evolution - Western Lanping basin","482 Mineralogy - 482.2 Minerals - 504.3 Heavy Metal Mines - 543.3 Molybdenum and Alloys - 544.2 Copper Alloys - 546.1 Lead and Alloys - 546.3 Zinc and Alloys - 547.1 Precious Metals - 804.2 Inorganic Compounds",,"Number: 41403038, Acronym: NYSF, Sponsor: National Youth Science Foundation; Number: 12120113094400, Acronym: CGS, Sponsor: China Geological Survey; Number: 41173026, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 40930425, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work was financially supported by, the National Natural Science Foundation for the Youth (no. 41403038 ), the 12th Five-Year Plan project of the State Key Laboratory of Ore-deposit Geochemistry , the National Natural Science Foundation of China (grant nos. 40930425 , 41173026 ), and the Comprehensive Research Project of China Geological Survey ( 12120113094400 ). We are grateful to the geological workers from the Sanjiang Copper Company Limited for their assistance during our field investigation.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The geological significance of Pb-Bi- and Pb-Sb-sulphosalts in the Damajianshan tungsten polymetallic deposit, Yunnan Province, China","20152300916263","","Zhang, Lei (1, 2); Wen, Hanjie (1); Qin, Chaojian (1); Du, Shengjiang (1, 2); Zhu, Chuanwei (1, 2); Fan, Haifeng (1); Zhang, Jinrang (3) ","(1) State Key Laboratory of Ore Deposit Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang; 550002, China (2) University of Chinese Academy of Sciences, Beijing; 100049, China (3) Chengdu Institute of Geology and Mineral Resources, China Geological Survey, Chengdu; 610081, China ","Wen, Hanjie ","Ore Geology Reviews","Ore Geol. Rev.","","Elsevier B.V.","71","","203-214","December 01, 2015","","","2015","English","01691368","","","10.1016/j.oregeorev.2015.05.017","","","","","","","Journal article (JA)","The Sanjiang Tethyan domain in SE Asia is one of the most important mineral belts in China. Cu, Pb-Zn, Ag, Au and Sn are the most important resources in this domain, while the tungsten mineralization is poorly reported. In this study, we report on mineralogy in recent discovered Damajianshan (DMJS) tungsten (-Cu-As-Mo-Bi) polymetallic deposit in the southern part of Sanjiang Tethyan domain related to Triassic quartz porphyry. Studies have shown that besides common ore minerals, such as native bismuth, bismuthinite, ikunolite, some specific minerals of Pb-Bi- and Pb-Sb-sulphosalts (e.g. izoklakeite, bournonite, cosalite, and boulangerite) have also been found. Based on paragenetic mineral assemblages, fluid inclusions, and thermodynamic studies, the physicochemical conditions were evaluated for the entire metallogenic process. The sulfur fugacity (logfS2) ranges from -9.7 to -37 with ore-forming temperatures between 190°C and 330°C, and the oxygen fugacity (logfO2) ranges from -37.5 to -38.5 when the temperature is 250°C. The sulfur fugacity and oxygen fugacity show strong fluctuations with broadly negative correlation, indicating that these variations in physicochemical conditions should be responsible for mineral assemblages, and are one of the most significant factors leading to the formation of the DMJS deposit. Our mineralogical studies provide new information for tungsten mineralization and further exploration of tungsten resources in the Sanjiang Tethyan mineralization domain. © 2015 Elsevier B.V.","","75","Iodine compounds","Antimony compounds - Binary alloys - Bismuth compounds - Copper alloys - Deposits - Mineralogy - Ores - Oxygen - Silver alloys - Tungsten mines - Zinc alloys","Ikunolite - Izoklakeite - Physicochemical conditions - Polymetallic - Sanjiang","482 Mineralogy - 504.3 Heavy Metal Mines - 544.2 Copper Alloys - 546.3 Zinc and Alloys - 547.1 Precious Metals - 804 Chemical Products Generally",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Characteristics of the Luoyin Compound Fault-fold Belt and its Ore-controlling Mechanisms in the Yinmin Iron-copper District, Dongchuan Area, Yunnan Province","20145000326374","","Nie, Tian (1, 2); Fang, Weixuan (3, 4); Du, Yulong (3, 4) ","(1) School of Earth Science and Resources, China University of Geosciences (Beijing), Beijing; 100083, China (2) Shanxi Corps, China Building Material Industry Geological Exploration Center, Taiyuan; Shanxi; 030031, China (3) Beijing Institute of Geology for Mineral Resources, Beijing; 100012, China (4) Kunming Sinotech Mineral Exploration Co., Ltd., Kunming; Yunnan; 650224, China ","Fang, Weixuan ","Geotectonica et Metallogenia","Geotecton. Metallog.","","Science Press","38","4","813-821","November 1, 2014","","","2014","Chinese","10011552","20959508","","","","","","","","","Journal article (JA)","The Yinmin iron-copper deposit with complex geological structure patterns experienced multi-stage geological evolution. In order to study the geometry of the Luoyin fault-fold belt, an east-west direction geological profile is mapped based on underground tunnel observation, and drilling hole-logging, of three levels from 2472 m, 2350 m, and 2230 m levels in the Yinmin iron-copper mine. In addition, the geological evolution of structure deformation is reconstructed based on structural analysis, of the Luoyin overturned compound fault-fold belt. To delineate the ore-controlling mechanism of the deposit, a rose-diagram of the fault-fracture was depicted based on the data from the above mentioned tunnels at the three levels. This study showed that fault-fractures at the depth of the Yinmin iron-copper deposit are in anti-fan-shape and are structurally concordant with morphological characteristics of the Luoyin overturned compound fold. In conclusion, the orebodies of the Dongchuan-type copper deposit and Xikuangshan-type iron-copper deposit were strictly controlled by the Luoyin fault-fold belt. Therefore, it may be predicated that the depth of the east limb of the Luoyin fault-fold belt might be plausible for exploration of the Dongchuan-type copper deposit and Xikuangshan-type iron-copper deposit. ©, 2014, Science Press. All right reserved.","","1","Copper compounds","Copper deposits - Copper mines - Deposits - Faulting - Fracture - Iron compounds","Compound faults - Controlling mechanism - Fold belts - Geological evolution - Geological structures - Iron-copper - Morphological characteristic - Underground tunnels","484.1 Earthquake Measurements and Analysis - 504.3 Heavy Metal Mines - 951 Materials Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Diachronic analysis of genetic diversity in rice landraces under on-farm conservation in Yunnan, China","20154401458778","","Cui, Di (1); Li, Jinmei (1); Tang, Cuifeng (2); A, Xinxiang (2); Yu, Tengqiong (2); Ma, Xiaoding (1); Zhang, Enlai (2); Cao, Guilan (1); Xu, Furong (2); Qiao, Yongli (1); Dai, Luyuan (2); Han, Longzhi (1) ","(1) Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, Key Laboratory of Crop Germplasm Resources and Utilization, The National Key Facility for Crop Gene Resources and Genetic Improvement, Ministry of Agriculture, No.12 Zhongguancun Nandajie, Beijing; 100081, China (2) Institute of Biotech and Germplasm Resources, Yunnan Academy of Agricultural Sciences, No.9 Xueyunlu, Kunming; Yunnan; 650205, China ","Han, Longzhi(hanlongzhi@caas.cn) ","Theoretical and Applied Genetics","Theor. Appl. Genet.","","Springer Verlag","129","1","155-168","January 1, 2016","","","2016","English","00405752","","","10.1007/s00122-015-2617-7","","","","","","THAGA6","Journal article (JA)","Key message: Diachronic analysis showed no significant changes in the level of genetic diversity occurred over the past 27 years’ domestication, which indicated genetic diversity was successfully maintained under on-farm conservation. Abstract: Rice (Oryza sativa L.) is one of the earliest domesticated crop species. Its genetic diversity has been declining as a result of natural and artificial selection. In this study, we performed the first analysis of the levels and patterns of nucleotide variation in rice genomes under on-farm conservation in Yunnan during a 27-year period of domestication. We performed large-scale sequencing of 600 rice accessions with high diversity, which were collected in 1980 and 2007, using ten unlinked nuclear loci. Diachronic analysis showed no significant changes in the level of genetic diversity occurring over the past 27 years’ domestication, which indicated genetic diversity was successfully maintained under on-farm conservation. Population structure revealed that the rice landraces could be grouped into two subpopulations, namely the indica and japonica groups. Interestingly, the alternate distribution of indica and japonica rice landraces could be found in each ecological zone. The results of AMOVA showed that on-farm conservation provides opportunities for continued differentiation and variation of landraces. Therefore, dynamic conservation measures such as on-farm conservation (which is a backup, complementary strategy to ex situ conservation) should be encouraged and enhanced, especially in crop genetic diversity centers. The results of this study offered accurate insights into short-term evolutionary processes and provided a scientific basis for on-farm management practices. © 2015, Springer-Verlag Berlin Heidelberg.","","60","Biodiversity","Crops","Artificial selection - Conservation measures - Evolutionary process - Genetic diversity - Nucleotide variation - Population structures - Rice (Oryza sativa L.) - Scientific basis","454 Environmental Engineering - 821.4 Agricultural Products",,"Number: NB2013-2130135-25-01, Acronym: -, Sponsor: -; Number: 2010CB125904-5, Acronym: -, Sponsor: -; Number: PJ008685, Acronym: RDA, Sponsor: Rural Development Administration; Number: -, Acronym: -, Sponsor: Rice University; Number: 2013BAD01B0101-02, Acronym: -, Sponsor: -; Number: 2013BAD01B02-2, Acronym: -, Sponsor: -; ","We thank the Chinese National Germplasm Bank for providing the landrace rice seeds. This work was supported by the National Key Technology Research and Development Program of China (2013BAD01B02-2, 2013BAD01B0101-02), Science and Technology Innovation Program of CAAS, the platform of National Crop Germplasm Resources, the Project of 973 (2010CB125904-5), the Protective Program of Crop Germplasm of China (NB2013-2130135-25-01), International Cooperation Project?from National Institute of Crop Science, RDA (PJ008685).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The geochemical characteristics and tectonic setting of the Permian basalts in the Binchuan-Lijiang area in Yunnan Province","20082411305767","","Zhu, Shi-Fei (1); Qin, Yong (1); Qian, Zhuang-Zhi (2); Gao, Yan-Qing (3) ","(1) College of Mineral Resource and Earth Sciences, CUMT, Xuzhou 221008, China (2) College of Earth Science and Land Resources, Chang'an University, Xi'an 710054, China (3) Department of Airdrome Engineering, Airacademy of the Chinese People's Liberation Army, Xuzhou 221000, China ","Zhu, S.-F.(shfzhu@163.com) ","Kuangwu Yanshi","Kuangwu Yanshi","","Kuangwu Yanshi, 1 Erxianqiao Dongsanlu, Chengdu Sichuan, 610059, China","28","1","64-71","March 2008","","","2008","Chinese","10016872","","","","","","","","","","Journal article (JA)","The trace and major elements of the Emeishan basalts occurred in the Binchuan and Lijiang area were studied. The basalts with a Permian age in the area were of the largest thickness of over 5000m and had a series of rock types. In this paper, the petrologic and geochemical characteristics and magma activation of the Emeishan basalts were described systemically. The research showed that the basalts with ω(SiO2) composition of 36.72% - 51.44% can be compositionally subdivided into three types, the high-Mg (ωMgO = 12.3% - 14.3%), the low-Mg (ωMgO = 2.48% - 7.53%) and transitional-Mg (ωMgO = 10.4% - 11.3%) basalt. All three groups showed continuous shift and trace elements, enriched LREE and LILE, while the high field-strength elements such as Ta, Nd, Zr and Hf were notably depleted. The basalts exhibited similar geochemical features to the Oceanic Island Basalts and belonged to the intra-plate tholeiitic basalts. It was considered that the Emeishan basalts represented a major magmatic event triggered by deep-seated plumes. The magma, raised from the mantle plume interacted with lithosphere materials, underwent different degrees of mixing of lithosphere mantle and crustal components and developed a variety of basalts.","","22","Basalt","Geochemistry - Petrology - Rare earth elements - Tectonics - Trace elements","Lithosphere - Magma activation","481.1 Geology - 481.1.2 Petrology (Before 1993, use code 482) - 481.2 Geochemistry - 482.2 Minerals - 547.2 Rare Earth Metals","Experimental (EXP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Strain and kinematic vorticity analysis: An indicator for sinistral transpressional strain-partitioning along the Lancangjiang shear zone, western Yunnan, China","20092112091774","","Zhang, Bo (1); Zhang, JinJiang (2); Zhong, DaLai (1); Guo, Lei (2) ","(1) State Key Laboratory Lithospheric Evolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing 100029, China (2) The Key Laboratory of Orogenic Belts and Crustal Evolution, Ministry of Education, Peking University, Beijing 100871, China ","Zhang, B.(zhangbo@mail.iggcas.ac.cn) ","Science in China, Series D: Earth Sciences","Sci. China Ser. D Earth Sci.","","Springer Verlag","52","5","602-618","2009","","","2009","English","10069313","18622801","","10.1007/s11430-009-0065-4","","","","","","","Journal article (JA)","This work deals with the preliminary relationship between strain path and strain partitioning pattern in a sinistral transpressional zone, Lancangjiang shear zone, located to the southeast of Tibet. Various ductile rocks provide an opportunity to investigate quantitative finite strain (Rs), kinematic vorticity values (Wm), and proportions of simple and pure shear components. The mean kinematic vorticity values (Wm) were evaluated based on three methods, such as Rs-θ, prophyroclast hyperbolic distribution method (PHD), and polar Mohr diagram construction (PMD). Wm for mylonitic metasediments of the low-grade schist belt ranged from 0.19 to 0.54. Protomylonites, mylonites, and ultramylonites recorded differential Wm values, 0.19-0.73, 0.11-0.8, and 0.84-0.95 (even 0.99) respectively in the high-grade gneiss belt. Based on classical strain analysis and these kinematic vorticity evaluations, the shear zone is classified as a preliminarily bulk monoclinic symmetry. The pattern of vorticity path suggests that a previously undocumented transpressional setting and strain partitioning pattern in the southeast region of Tibet Plateau, characterized by steep-narrow domain of simple-shearing (Tertiary strike-slip shearing) deformation and wider domain of mostly pure-shearing (Tertiary contraction) to accommodate intracontinental deformation. © Science in China Press and Springer-Verlag GmbH 2009.","","51","Shearing machines","Deformation - Kinematics - Shearing - Strain - Structural geology - Vorticity","Hyperbolic distribution - Kinematic vorticity - Monoclinic symmetry - Shear zone - Simple shearing - Strain analysis - Strain partitioning - Transpression","481.1 Geology - 603.1 Machine Tools, General - 604.1 Metal Cutting - 631.1 Fluid Flow, General - 931.1 Mechanics - 951 Materials Science",,"Number: 20070440065, Acronym: -, Sponsor: China Postdoctoral Science Foundation; Number: 40802050, Acronym: -, Sponsor: National Natural Science Foundation of China; ","Received May 4, 2008; accepted July 30, 2008 doi: 10.1007/s11430-009-0065-4 †Corresponding author (email: zhangbo@mail.iggcas.ac.cn) Supported by National Natural Science Foundation of China (Grant Nos. 40802050, 49802020, 40172074) and China Postdoctoral Science Foundation (Grant No. 20070440065)",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"RETRACTED ARTICLE: Estimating the cumulative effects of different roads using roadless volume index - A case study in yunnan province","20094512430798","","Shiliang, Liu (1); Yuhong, Dong (2) ","(1) School of Environment, State Key Laboratory of Water Environment Simulation, Beijing Normal University, Beijing 100875, China (2) Yucheng Comprehensive Experimental Station, Institute of Geographical Sciences and natural Resources Research, CAS, Beijing, 100101, China ","Shiliang, L.(shiliangliu@163.com) ","Proceedings - 2009 International Forum on Information Technology and Applications, IFITA 2009","Proc. - Int. Forum Inf. Technol. Appl., IFITA","","IEEE Computer Society","1","","480-482","2009","Proceedings - 2009 International Forum on Information Technology and Applications, IFITA 2009","","2009","English","","","9780769536002","10.1109/IFITA.2009.406","5231665","2009 International Forum on Information Technology and Applications, IFITA 2009","May 15, 2009 - May 17, 2009","Chengdu, China","78024","","Conference article (CA)","Roads encroaching into undeveloped areas generally degrade ecological and watershed conditions. The road networks bring forth many ecological effects. The span of documented effects ranges from a few meters to many kilometers and different grade road have distinct impact. We used a metric, roadless volume (RV), which is derived from the calculated distance to the nearest road to estimate the effect of different roads on various ecosystems and took Xishuangbanna Autonomous Region as a case The results showed that roads had a close positive relationship with ecosystem patch number, village and negative relationship with elevation The calculated RV index clearly reveal road effect on different land uses. The grassland, shrub, forest land have more roadless volume while constructive lands have less. Scenario analysis showed RV decreased with with the road network completeness. This suggests that full road network data should be considered to avoid the underestimate of the comprehensive effects. © 2009 IEEE.","","6","Roads and streets","Ecosystems - Forestry - Land use - Motor transportation","Landscape - Road class - Road ecology - Road network - Roadless volume","403 Urban and Regional Planning and Development - 406.2 Roads and Streets - 454.3 Ecology and Ecosystems",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Geochemical processes and origin of boron isotopes in geothermal water in the Yunnan-Tibet geothermal zone","20145000310215","","Lü, YuanYuan (1); Zheng, MianPing (1); Zhao, Ping (2); Xu, RongHua (3) ","(1) MLR Key Laboratory of Saline Lake Resources and Environments, Institute of Mineral Resources, Chinese Academy of Geological Sciences, Beijing; 100037, China (2) Institute of Tibetan Plateau Research, Chinese Academy of Sciences, Beijing; 100101, China (3) Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing; 100029, China ","Lü, YuanYuan ","Science China Earth Sciences","Sci. China Earth Sci.","","Science in China Press","57","12","2934-2944","December 7, 2014","","","2014","English","16747313","18691897","","10.1007/s11430-014-4940-2","","","","","","","Journal article (JA)","Boron concentrations and isotope compositions have been measured for 93 water samples from the hot springs and drill-holes in the geothermal system in the Yunnan-Tibet Geothermal Belt (YTGB), China. Boron concentrations range from 0.036–472.4 ppm, and the δ11B values range from −16.0‰ to 13.1‰, indicating the non-marine origin for each geothermal system. We observed a clear binary mixing relationship between the B concentrations and B isotope compositions in Tibet geothermal area. This relationship can be well explained by two sources, i.e., marine carbonate rocks and magmatic rocks, for the Tibet geothermal water. No evidence supports a mantle contribution to B. In addition, we found that the precipitation only plays a dilution role for B of geothermal waters. δ11B values for the precipitation across the southern Tibetan Plateau area range from −6.0‰ to −6.8‰ at least. Due to data scarcity in Yunnan geothermal area, we observed possible different boron sources from the Tibet geothermal system. Comparing it with other geothermal systems in the world, we found that the samples from YTGB have the lowest δ11B values and the largest range of B concentration, which might be related to their special geological background. On the whole, the world geothermal δ11B-Cl/B relation suggests a mixing process between marine and non-marine sources. Additionally, we suggest that B source of B-enriched geothermal waters is mainly from B-enriched crustal country-rocks, instead of mantle. © 2014, Science China Press and Springer-Verlag Berlin Heidelberg.","","86","Geothermal springs","Boron - Geothermal fields - Geothermal wells - Hot springs - Isotopes - Mixing","Boron concentrations - Boron isotopes - Geochemical process - Geological background - Geothermal water - Isotope compositions - Marine carbonate rock - tracing","481.3.1 Geothermal Phenomena - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 802.3 Chemical Operations",,"Number: -, Acronym: -, Sponsor: Department of Geology and Geophysics, Yale University; Number: -, Acronym: PKU, Sponsor: Peking University; Number: 1212011085524, Acronym: CGS, Sponsor: China Geological Survey; Number: 41030317, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 41203012, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","We gratefully acknowledge reviewers for constructive reviews and suggestions on an early draft, Charles B and Krysta B for revisions. We thank Profs. Wu Fuyuan, Xie Liewen, Yang Yueheng, Li He and Chu Zhuyin from Institute of Geology and Geophysics, Chinese Academy of Sciences and Profs. Shao Hongxiang and Gu Libing from Peking University for providing valuable suggestions and help during lab experiments. This research was supported by National Natural Science Foundation of China (Grant Nos. 41203012, 41030317) and China Geological Survey (Grant No. 1212011085524).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Characteristics and origin of mafic and ultramafic xenoliths in trachyandesite lavas from Heikongshan volcano, Tengchong, Yunnan Province, China","20103813252092","","Yu, Hong Mei (1); Lin, Chuan Yong (1); Shi, Lan Bin (1); Xu, Jian Dong (1); Chen, Xiao De (1) ","(1) Institute of Geology, China Earthquake Administration, Beijing 100029, China ","Yu, H. M.(yuhongmei188@163.com) ","Science China Earth Sciences","Sci. China Earth Sci.","","Science in China Press","53","9","1295-1306","2010","","","2010","English","16747313","","","10.1007/s11430-010-4044-6","","","","","","","Journal article (JA)","The trachyandesite lavas from Heikongshan volcano of the Tengchong volcanic cluster, Yunnan Province contain relatively abundant mafic and ultramafic small xenoliths comprising mainly gabbro, pyroxenite and rare lherzolites, all less than 2.5 cm in size. Gabbro xenoliths are characterized by 'open' texture represented by relatively abundant vesicles and ground-mass fillings, while pyroxenite xenoliths are characterized by equigranular and poikilitic texture. Their mineral compositions (clinopyroxene ± orthopyroxene ± plagioclase) are similar to those of phenocrysts in lavas, and their equilibration temperature (1000-1125°C) is consistent with the crystallization temperature of the phenocrysts (998-1108°C). Thus, the textures and compositions of these xenoliths are different from those of lower crustal and mantle xenoliths, and were derived from the magma chamber. Among them, the gabbroic xenoliths come from the crystal-bubble-liquid zone at the top of the magma reservoir, while the pyroxenite xenoliths come from the cumulates in the bottom of magma reservoir. The studied single lherzolite xenolith with porphyroclastic texture has similar mineral compositions to the mantle xenoliths from eastern China, and is considered to be of upper mantle origin. It was brought into magma reservoir by replenishment magma, and might have experienced a cooling event before eruption. The formation of xenoliths in trachyandesite flows largely reflects the ascent, storage, evolution and eruption processes of magma. © 2010 Science China Press and Springer-Verlag Berlin Heidelberg.","","29","Volcanoes","Earth sciences - Natural sciences","Barometry - Magma chamber - Tengchong - trachyandesite - xenoliths","484 Seismology",,"Number: -, Acronym: -, Sponsor: Department of Geology and Geophysics, Yale University; Number: -, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: -, Acronym: -, Sponsor: Beijing&nbsp;Key&nbsp;Lab&nbsp;of&nbsp;Fine&nbsp;Ceramics&nbsp;Opening&nbsp;Fund; Number: 200708-27, Acronym: -, Sponsor: -; ","The authors sincerely thank Mr. Ma Yuguang from the Electron Microprobe Laboratory, Institute of Geology and Geophysics, Chinese Academy of Sciences, and Mr. Yin Jingwu from the Electron Microprobe Laboratory, China University of Geosciences (Beijing) for their enthusiastic support and kind help during electron microprobe analysis. The authors also would like to thank anonymous reviewers for their constructive comments and suggestions on this manuscript. This study was supported by the Special Fund for China Earthquake Research (Grant No. 200708-27).",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Hyperspectral remote sensing for mineral exploration in Pulang, Yunnan province, China","20112214014323","","Bishop, Charlotte A. (1, 2); Liu, Jian Guo (2); Mason, Philippa J. (2) ","(1) Now at Fugro NPA Ltd, Crockham Park, Edenbridge, Kent, TN8 6SR, United Kingdom (2) Department of Earth Science and Engineering, Imperial College, Prince Consort Road, London, SW7 2AZ, United Kingdom ","Bishop, C. A.(c.bishop@fugro-npa.com) ","International Journal of Remote Sensing","Int. J. Remote Sens.","","Taylor and Francis Ltd.","32","9","2409-2426","May 2011","","","2011","English","01431161","13665901","","10.1080/01431161003698336","","","","","","IJSEDK","Journal article (JA)","The launch of the first spaceborne hyperspectral instrument, Hyperion, in 2000 has provoked further research into its capabilities with regard to mineral exploration. Our study in the remote, mountainous region of Pulang, China employed a two step progressive approach, first to locate target areas characterized by hydrothermal mineral alteration, using the Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER), and secondly, to attempt detailed mineral mapping using Hyperion. The preliminary target detection involved principal components and broad-band spectral analysis and led to the detection of two target areas characterized by argillic alteration, iron-oxide- and sulphate-bearing minerals. A focused hyperspectral study followed using Spectral Angle Mapper (SAM) and Mixture Tuned Matched Filtering (MTMF) techniques, which allowed mineral species to be discriminated and mapped in more detail. This combined broad-band and hyperspectral approach is feasible and advantageous for mineral exploration in remote areas where primary information is limited or unavailable. © 2011 Taylor & Francis.","","18","Mineral exploration","Iron oxides - Minerals - Principal component analysis - Remote sensing - Spectrum analysis - Sulfur compounds","Advanced spaceborne thermal emission and reflection radiometer - Hydrothermal minerals - Hyperspectral instrument - Hyperspectral remote sensing - Mixture tuned matched filtering - Mountainous regions - Principal Components - Spectral angle mappers","482.2 Minerals - 501.1 Exploration and Prospecting Methods - 804.2 Inorganic Compounds - 922.2 Mathematical Statistics",,"Number: -, Acronym: NERC, Sponsor: Natural Environment Research Council; Number: -, Acronym: NERC, Sponsor: Natural Environment Research Council; Number: -, Acronym: CUGB, Sponsor: China University of Geosciences, Beijing; ","This project was in collaboration with the China University of Geosciences, who provided the Hyperion dataset and some additional reference material. The Natural Environment Research Council (NERC) provided funding for the first author’s study, which enabled this work to be undertaken.",,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
