Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Abstract type,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Nonquadratic lyapunov function based H∞ control law design for time-delay fuzzy systems","20084011616107","Wang, Yan (1); Sun, Yuming (1); Ji, Zhicheng (1) ","(1) Institute of Electrical Automation, Jiangnan University, Wuxi 214122, China ","Wang, Y.(wangyan_sytu@126.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","673-677","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605187","4605187","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper deals with the stability analysis and the design of H ∞ control law for a class of discrete Takagi-Sugeno (T-S) fuzzy systems with time delays. Based on the nonquadratic Lyapunov function constructed here, the stability analysis and the design way of H ∞ control law are derived in the form of linear matrix inequality (LMI) via a nonparallel distributed compensation (non-PDC) scheme. The new conclusion under a special situation is also suitable for a PDC law. Two numerical examples are supplied to demonstrate the effectiveness of the designed control law. And both theoretical analysis and numerical examples illustrate that such novel sufficient conditions are less conservative than previous results obtained within the quadratic framework.","","7","Discrete time control systems","Delay control systems - Feedback control - Fuzzy systems - Linear matrix inequalities - Lyapunov functions - Numerical methods - Robustness (control systems) - Time delay - Timing circuits","Control law design - Control laws - Non-quadratic Lyapunov functions - Parallel distributed compensation - Stability analysis - T-S fuzzy models - Takagi Sugeno fuzzy systems - Time-delay fuzzy systems","713 Electronic Circuits - 713.4 Pulse Circuits - 731.1 Control Systems - 921 Mathematics - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Feedback linearization and continuous sliding mode control for a quadrotor UAV","20084011616246","Zhou, Fang (1); Zhang, Zhi (1); Liang, Jim (1); Wang, Jian (1) ","(1) College of Automation, Harbin Engineering University, Harbin 150001, China ","Zhou, F.(326zhoufang@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","349-353","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605334","4605334","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper presents a continuous sliding mode control method based on feedback linearization, an output tracking control is designed for the system. A discontinuous sliding mode control can be changed into a continuous one by dynamical extending the nonlinear system. The problem of zero dynamics from the state feedback exact linearization process can be solved by placing two integrators in front of partial control input , .and realize the decoupling control. The control method in this paper compared with sliding control based on backstepping technique, it overcomes the disadvantage of sliding mode control just as chatting phenomenon, and it has no need to design the complex Lynapunov function according to the backstepping method. The simulation result shows that the control law prescribed in this paper can follow up the given signal.","","7","Feedback linearization","Backstepping - Navigation - Sliding mode control - State feedback - Unmanned aerial vehicles (UAV)","Back-stepping method - Backstepping technique - Continuous sliding modes - Decoupling controls - Dynamical extend - Output tracking control - Quad rotors - State feedback exact linearization","652.1 Aircraft, General - 731.1 Control Systems",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Design of electronic speech processing machine for cochlear implants based on STFT","20084011616790","Zhang, Lijun (1); Yue, Hongda (1); Lei, Zhenglin (1) ","(1) College of Automation, Harbin Engineering University, Harbin 150001, China ","Zhang, L.(zhanglj@hrbeu.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","826-830","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605870","4605870","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The principles of the cochlear implant and the speech processing strategies were presented. Then, the performance of Spectral Peak method and short-time fourier transform method in DSPs were proposed to be used for cochlear implant. The experiment proved: The two strategies of the electronic cochlear system both could get good speech recognition, but the performance of STFT method has a great flexibility to pick up channels' parameters to stimulate the auditive nerves of a totally or profoundly deaf person and it had a faster processing speed. The traditional processor was made of ASIC circuit, its design and improvement was very complicated. The hardware design in DSPs could be simpler and more flexible.","","6","Cochlear implants","Digital signal processors - Integrated circuit design - Signal processing - Speech processing - Speech recognition","Deaf persons - Hardware design - Processing machines - Processing speed - Processing strategies - Short time Fourier transforms - Spectral peak - Spectral pesk method","462.4 Prosthetics - 714.2 Semiconductor Devices and Integrated Circuits - 716.1 Information Theory and Signal Processing - 751.5 Speech",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Identification of Pu'er tea by Fourier transform infrared spectroscopy","20081911244673","Zhou, Xiang-Ping (1); Liu, Gang (1); Shi, You-Ming (1); Dong, Qin (2) ","(1) Department of Physics, Yunnan Normal University, Kunming 650092, China (2) Center of Experiment, Yunnan University, Kunming 650091, China ","Zhou, X.-P.(apple_zxp@126.com) ","Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis","Guang Pu Xue Yu Guang Pu Fen Xi","","Science Press, 18,Shuangqing Street,Haidian, Beijing, 100085, China","28","3","594-596","March 2008","","","2008","Chinese","10000593","","","","","","","","","GYGFED","Journal article (JA)","In the present paper, Fourier transform infrared spectroscopy (FTIR) was used to determine unzymic and zymic Pu'er tea of different grade produced in Simao, Yunan Province. Because of the different processing technology, different proportion of chemical constituents exists in the unzymic and zymic Pu'er tea. And although there is a great mass of similarity in infrared spectrum, the results still show differences in the characteristic peaks of infrared spectrum between unzymic and zymic Pu'er tee. And there is also obvious difference between unzymic Pu'er tea of different grade or zymic Pu'er tea of different grade. According to the studies of the spectral peaks and absorbance ratios, unzymic and zymic Pu'er tea can easily be identified. And different grade of unzymic and zymic Pu'er tea may be classified by the differences in the absorbance ratios of several peaks. FTIR is proved to be a rapid, simple, reliable and non-destructive qualification method, it is suitable for grade identification of Pu'er tea.","","11","Plants (botany)","Chemicals - Fourier transform infrared spectroscopy - Infrared absorption - Infrared spectroscopy - Optical character recognition - Spectrum analysis - Structure (composition)","Absorbance ratios - Characteristic peaks - Chemical constituents - Infrared spectrum - Pu'er tea","461.9 Biology - 741.1 Light/Optics - 803 Chemical Agents and Basic Industrial Chemicals - 941.4 Optical Variables Measurements - 951 Materials Science","Applications (APP)",,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Decision and behavior evolution in MAS based on neural network and swarm intelligence","20084011616039","Li, Ming (1); Liu, Weibing (1); Wang, Xianjia (1) ","(1) Institute of Systems Engineering, Wuhan University, Wuhan 430072, China ","Li, M.(lemming111@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","219-222","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605116","4605116","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper proposes a method using neural networks and swarm intelligence technology for the decision-making in the multi-agent systems (MAS), In this paper, a neural network is used for behavior decision controller. The inputs of the neural network are decided by the last actions of other agents. Then the outputs determine the next action that the agent will choose. The weight values are updated by particle swarm optimization algorithm, and they imply the behavior evolution of agents. The validity of the decision model is verified through simulation experiment, and the results show that this method has the ability of adaptive learning and can prevent the collision between agents to obtain the Pareto optimal.","","12","Intelligent agents","Decision making - Multi agent systems - Neural networks - Pareto principle - Particle swarm optimization (PSO) - Swarm intelligence","Adaptive learning - Behavior decision - Behavior evolution - Decision - Decision modeling - Pareto-optimal - Particle swarm optimization algorithm - Weight values","723 Computer Software, Data Handling and Applications - 912.2 Management",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"On switching policies for generalized switched server systems","20084011616748","Wang, Xingxuan (1) ","(1) Department of Electronic Engineering, Fudan University, Shanghai 200433, China ","Wang, X.(wxx07@fudan.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","671-677","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605821","4605821","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","A generalized switched server (GSS) system is a discretely controlled continuous time system, which can be used for solving a class of task-balancing problems. This paper studies the switching policies for such GSS system, giving a focus on their balanceability, which answers the question that, under certain algebra constraint, whether the GSS system could be driven to reach the task-balancing status by the given switching policy. Several switching policies, including FRR, FMM, and aMM policy, are first introduced, then the balanceability of the related switching policies is elaborated, and finally a sufficient condition for the balanceability of the FRR policy is obtained.","","10","Switching","Algebra - Continuous time systems","Balanceability - Balancing problems - Hybrid dynamic system (HDS) - Switched server - Switched server system","921.1 Algebra - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The application of information fusion in fault diagnosis and equipment monitoring","20084011616421","Du, Yi (1); Chi, Yilin (1); Wu, Xing (1) ","(1) Kunming University of Science and Technology, Kunming 650093, China ","Du, Y.(duyi215@tom.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","126-130","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605530","4605530","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Information Fusion is a kind of theory and method to deal with multi-sources information. It consists of three main steps: data acquisition, data processing and decision-making. Research in Information Fusion grows rapidly. Hundreds of papers in this area, including theory and practical applications, appear every year in academic journals, conference proceedings and technical reports. The concepts, advantage, basic frame, basic model, basic algorithms of Information fusion are discussed in this article. The recent research and developments of information fusion in fault diagnosis and equipment monitoring are summarized and reviewed. The possible future trends are also pointed out.","","30","Fault detection","Algorithms - Data acquisition - Data fusion - Data handling - Decision making - Failure analysis - Information fusion","Academic journal - Equipment monitoring - Model-making - Multi sensor - Multi-Sources - Possible futures - Recent researches - Theory and methods","723.2 Data Processing and Image Processing - 903.1 Information Sources and Analysis - 912.2 Management",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"H2 guaranteed cost output-feedback control for discrete-time fuzzy system","20084011616168","Zhong, Yang (1); Yupu, Yang (1); Wei, Li (1) ","(1) Department of Automation, Shanghai Jiaotong University, Shanghai 200240, China ","Zhong, Y.(yangzhong@sjtu.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","326-330","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605252","4605252","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This study deals with H2 guaranteed cost control problem for discrete time nonlinear systems with parameter uncertainties. The Takagi and Sugeno (T-S) fuzzy model with parameter uncertainties is employed to represent an uncertain discrete time nonlinear system. Based on the structural information in rule base, an output feedback controller design method is introduced. Sufficient conditions for the existence of H2 guaranteed cost output feedback controllers are given. Further more, a convex optimization problem with linear matrix inequality (LMI) constraints is applied to design the suboptimal H2 guaranteed cost output feedback controller which minimizes the guaranteed cost of the closed-loop uncertain system. Numerical example is given to demonstrate the effectiveness of the proposed method.","","24","Controllers","Convex optimization - Discrete time control systems - Feedback control - Fuzzy systems - Linear matrix inequalities - Nonlinear control systems - Numerical methods - Robustness (control systems) - Uncertainty analysis","Convex optimization problems - Discrete-time fuzzy systems - Discrete-time nonlinear systems - Guaranteed cost - Guaranteed cost control - Output feedback controller - Output feedback controls - Takagi and Sugeno fuzzy model","731.1 Control Systems - 732.1 Control Equipment - 921.1 Algebra - 921.6 Numerical Methods - 922.1 Probability Theory - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"High-energy nonthermal radiation from putative Geminga-like gamma-ray pulsars (Research Note)","20081811227666","Jin, Z. (1, 2); Jiang, Z.J. (1); Zhang, L. (1) ","(1) Department of Physics, Yunnan University, Kunming, 650091 Yunnan, China (2) Department of Physics, Yunnan Normal University, Kunming, 650092 Yunnan, China ","Jin, Z.(zjjiang@ynu.edu.cn) ","Astronomy and Astrophysics","Astron. Astrophys.","","EDP Sciences, 17 Avenue du Hoggar - BP 112, Les Ulis Cedex A, F-91944, France","482","3","879-882","May 2008","","","2008","English","00046361","14320746","","10.1051/0004-6361:20078626","","","","","","AAEJAF","Journal article (JA)","Aims. The gamma-ray spectra of some unidentified Galactic sources show that the corresponding counterparts are likely gamma-ray pulsars. We investigate the possibility of some Geminga-like gamma-ray pulsars as the counterparts of unidentified sources.Methods. There are five Geminga-like gamma-ray pulsar candidates associated with 3EG J0010+7309, 3EG J1835+5918, 3EG J2020+4017, 3EG J0616-3310, and 3EG J1249-8330. Combining the observed nonthermal X-ray emission detected by Chandra or XMM-Newton and the gamma-ray emission by EGRET, we study the high-energy radiation from these putative pulsars based on the revised vacuum outer gap model.Results. By comparing the estimated spectra with the observations, we estimated the spin parameters and the inclination angles for these five putative pulsars. The observed spectra of the unidentified gamma-ray sources can be explained by this outer gap model.. © 2008 ESO.","","40","Stars","Gamma rays - Mathematical models - Spin dynamics - X rays","Nonthermal radiation - Putative Geminga-like gamma-ray pulsars - Radiation mechanisms - Spin parameters","657.2 Extraterrestrial Physics and Stellar Phenomena - 921 Mathematics - 931.3 Atomic and Molecular Physics - 932.1 High Energy Physics","Theoretical (THR)",,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Architecture analysis and design of swarm robot systems based on the multi-task's","20084011615925","Huang, Tianyun (1); Wang, Xiaonan (1); Chen, Xuebo (1); Xu, Wangbao (1) ","(1) Liaoning University of Science and Technology, Anshan 114044, China ","Huang, T.(ty_huang3@yahoo.com.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","300-303","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605021","4605021","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","This paper, based on swarm robot organization control, designs an architecture of swarm robot system that the purpose is to accomplish the task, expands the robot system into four constructions : logic architecture, communication architecture, space topology architecture and organization architecture, these structures have general adaptability and have offered the unified structural model for multi-task's swarm robot system which benefit for analysis and design of the robot system structure. The design of this system architecture considering the independence of a single robot, the need of the cooperation and the coordination between multi-robots, it provides a theoretical framework for actually develop the swarm robot system.","","11","Swarm intelligence","Adaptive control systems - Computer architecture - Machine design - Robots - Structural design - Topology","Architecture analysis - Communication architectures - Decentralization control - Logic architecture - Robot system - Structural modeling - System architectures - Theoretical framework","408.1 Structural Design, General - 601 Mechanical Design - 731.1 Control Systems - 731.5 Robotics - 921.4 Combinatorial Mathematics, Includes Graph Theory, Set Theory",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The simulation of container terminals automatic yard logistics system and the optimization of yard machine attempter based on AutoMod","20084011616368","Gan, Mingxing (1); Yan, Wuyuan (1) ","(1) Administration Department, Guangdong Polytechnic Normal University, Guangzhou 510665, China ","Gan, M.(Stargan74@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","789-793","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605462","4605462","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The paper discusses the characteristic of container terminals automatic yard system and the purpose of system simulation. A series of numeric simulation model of the container yard logistics system were constructed based the AutoMod software. The models were checked up and applied in a certain container terminals automatic yard, the analysis of the results shows that the models were tried. Some research on the optimization of yard machine scheme was made, and some reasonable result achieved. All this provides the decision support for the terminal management.","","4","Containers","Computer software - Decision support systems - Port terminals - Railroad yards and terminals","AutoMod - Container terminal - Decision supports - Numeric simulation - Simulation - System simulations - Terminal management - Yard","407.1 Maritime Structures - 681.2 Railroad Yards and Terminals - 723 Computer Software, Data Handling and Applications",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Discussion on nonlinear PID based on nonlinear norm transformation controlling method applied to SVC","20084011616202","Tang, Niang (1); Chen, Zhong (1); Sun, Yi Hui (1) ","(1) Changsha University of Science and Technology, Hunan 410076, China ","Tang, N. ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","61-63","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605287","4605287","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","The structure of the Static Var Compensator (SVC) control system and the compensation principle are briefly analyzed in this paper. The control method of nonlinear PID based on nonlinear norm transformation is introduced into the control system, to improve performance. The simulation results show that the method can accelerate the stabilizing process and reduce rising time and overshoot obviously.","","9","Static Var compensators","Control systems - Mathematical transformations - Value engineering","Control methods - Controlling methods - Improve performance - Nonlinear norm transformation - Nonlinear PID - Rising time - Static var compensators (SVC)","704.2 Electric Equipment - 731.1 Control Systems - 911.5 Value Engineering - 921.3 Mathematical Transformations",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The design of a multi-sensor tracking and fusion algorithms test-bed","20084011616585","Yang, Feng (1); Liang, Yan (1); Pan, Quan (1); Cheng, Yongmei (1) ","(1) School of Automation, Northwestern Polytechnical University, Xi'an 710072, China ","Yang, F.(happyangel-yf@126.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","768-772","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605609","4605609","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","It's difficult to evaluate the performance of multi-sensor tracking and fusion algorithms, because it needs the complex testing scenarios and flexible setting of parameters. A multi-sensor tracking and fusion algorithm test-bed is designed to solve the problem. By utilizing the test-bed, the performance of multi-sensor tracking and fusion algorithms can be evaluated under multiple tracking scenarios, multiple sensors combinations and multiple sensor parameters. Through simulation analysis, the test-bed is validated.","","10","Target tracking","Equipment testing - Information fusion - Parameter estimation","Complex testing - Fusion algorithms - Multi sensor - Multi-sensor tracking - Multiple sensors - Multiple tracking - Setting of parameters - Simulation analysis","903.1 Information Sources and Analysis",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Action-dependent heuristic dynamic programming for level control of three tanks","20084011615945","Song, Shaojian (1); Li, Jinzhi (1); Lin, Xiaofeng (1) ","(1) College of Electrical Engineering, Guangxi University, Nanning 530004, China ","Song, S.(Sjsong03@163.com) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","468-473","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605056","4605056","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","Action-dependent heuristic dynamic programming is an algorithm of approximate dynamic programming. It does not require an explicit model of system that is to be controlled and an explicitly defined system performance measure 'J' that is a function in the classical optimal control theory either. The structure and the implementation of this algorithm is analyzed and applied to the level control of three tanks, which is a strong coupling and non-linearity system. This algorithm is compared with single neuron adaptive PID. The results of simulation show that the action-dependent heuristic dynamic programming gets better in steady state error controlling, overshoot controlling, speed of response, antijamming capability and robustness.","","11","Dynamic programming","Adaptive control systems - Heuristic programming - Level control - Neural networks - Tanks (containers)","Action dependent heuristic dynamic programming - Adaptive PID - Anti-jamming capability - Approximate dynamic programming - Learning control - Optimal control theory - Single neuron adaptive - System performance measures","619.2 Tanks - 723.1 Computer Programming - 731.1 Control Systems - 731.3 Specific Variables Control - 921.5 Optimization Techniques",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The piecewise fuzzy output tracking control of uncertain T-S system with time delays","20084011616106","Wang, Yan (1); Ji, Zhicheng (1); Liu, Zhikang (1) ","(1) Institute of Electrical Automation, Jiangnan University, Wuxi Jiangsu 214122, China ","Wang, Y.(wangyan@jiangnan.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","321-325","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605186","4605186","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","For the conservatism and difficulty of checking the stability of T-S fuzzy system with the common Lyapunov function approach, piecewise Lyapunov function and fuzzy Lyapunov function are proposed by using the fuzzy premise rules of the T-S system and membership functions respectively; the problem of robust control of a typical class of T-S fuzzy systems is studied by defining fuzzy Lyapunov function in each overlapping group; and The method of parametric design of output tracking controller is given in the form of LMI. And, the output tracking controller meets the disturbance attenuation γ, the controller can guarantee that the closed-loop system is stable.Finally, The matrix shows the feasibility of the method.","","7","Membership functions","Closed loop control systems - Closed loop systems - Controllers - Fuzzy systems - Lyapunov functions - Navigation - Robust control - Time delay","Common Lyapunov functions - Disturbance attenuation - Fuzzy Lyapunov functions - Output tracking control - Piecewise fuzzy lyapunov function - Piecewise Lyapunov functions - T S fuzzy system - Uncertain system with time delay","713 Electronic Circuits - 731 Automatic Control Principles and Applications - 732.1 Control Equipment - 921 Mathematics - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Decoupling control based on PID neural network for plasma cutting system","20084011616194","Jia, Deli (1); You, Bo (1); Zhang, Fengjing (1) ","(1) Harbin University of Science and Technology, Harbin 150080, China ","Jia, D.(jiadeli@hrbust.edu.cn) ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","659-662","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","English","","","9787900719706","10.1109/CHICC.2008.4605279","4605279","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","A decoupling control based on PID (proportional-integral-derivative) neural network and relevant algorithms are proposed in this paper. They are introduced to solve problems of nonlinearity and strong coupling between cutting speed and torch's height in plasma cutting system. The dynamic model of system was established with use of BP (back-propagation) neural network. The actual experimental cutting result shows that decoupling control technology based on PID neural network is an effective decoupling control for cutting speed and torch's height in plasma cutting system.","","14","Backpropagation","Cutting - Plasma arc cutting - Proportional control systems - Two term control systems","BP (back propagation) neural network - Cutting speed - Decoupling controls - Model of systems - PID (proportionalintegral-derivative) - PID neural network - Plasma cutting - Strong coupling","604.1 Metal Cutting - 723.4 Artificial Intelligence - 731.1 Control Systems",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Adaptive backstepping controller design for nonlinear system with uncertain coefficient of control input","20084011616775","Han, Yongcheng (1); Fang, Yiming (1); Zhao, Linlin (1) ","(1) College of Electric Engineering, Yanshan University, Qinhuangdao 066004, China ","Han, Y. ","Proceedings of the 27th Chinese Control Conference, CCC","Proc. Chin. Control. Conf., CCC","Chinese Association of Automation; Chinese Association of Automation Kunming Univ. Sci. Technol.; Technical Committee on Control Theory; Yunnan Division","IEEE Computer Society","","","783-787","2008","Proceedings of the 27th Chinese Control Conference, CCC","","2008","Chinese","","","9787900719706","10.1109/CHICC.2008.4605823","4605823","27th Chinese Control Conference, CCC","July 16, 2008 - July 18, 2008","Kunming, Yunnan, China","73759","","Conference article (CA)","An improved adaptive Backstepping controller design method is proposed for a class of higher-order single input and single output nonlinear system with non-strictly parameter feedback uncertainty. For uncertain coefficient of control input in system model, existing nesting problem that the designed controller includes parameter adaptive law and the adaptive law includes control input are solved effectively by using equivalent model transform and selecting the suitable Lyapunov function. The proposed method is applied to position tracking control of hydraulic servo system, and an adaptive Backstepping controller is designed. Simulation results show that the proposed controller has good robustness and position tracking performance.","","8","Controllers","Adaptive control systems - Backstepping - Design - Hydraulic servomechanisms - Lyapunov functions - Nonlinear systems - Servomechanisms - Tracking (position) - Uncertainty analysis","Adaptive back-stepping - Adaptive backstepping control - Hydraulic servo system - Parameter adaptive - Position tracking control - Single input and single outputs - Tracking performance - Uncertain coefficient","731.1 Control Systems - 732.1 Control Equipment - 921 Mathematics - 922.1 Probability Theory - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
